,precision,recall,f1-score,support
Affenpinscher,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Afghan Hound,1.0,0.9722222222222222,0.9859154929577465,36.0
African Hunting Dog,0.9629629629629629,1.0,0.9811320754716981,26.0
Airedale,0.9655172413793104,0.9032258064516129,0.9333333333333333,31.0
American Staffordshire Terrier,0.8421052631578947,0.64,0.7272727272727273,25.0
Appenzeller,0.7391304347826086,0.7727272727272727,0.7555555555555555,22.0
Australian Terrier,0.8888888888888888,0.8,0.8421052631578947,30.0
Basenji,0.9696969696969697,1.0,0.9846153846153847,32.0
Basset,0.8333333333333334,0.9615384615384616,0.8928571428571429,26.0
Beagle,0.7647058823529411,0.8666666666666667,0.8125,30.0
Bedlington Terrier,1.0,1.0,1.0,28.0
Bernese Mountain Dog,0.9428571428571428,1.0,0.9705882352941176,33.0
Black-And-Tan Coonhound,1.0,0.9583333333333334,0.9787234042553191,24.0
Blenheim Spaniel,0.9310344827586207,0.9642857142857143,0.9473684210526315,28.0
Bloodhound,0.9655172413793104,1.0,0.9824561403508771,28.0
Bluetick,0.8846153846153846,0.8846153846153846,0.8846153846153846,26.0
Border Collie,0.7777777777777778,0.9545454545454546,0.8571428571428571,22.0
Border Terrier,0.9629629629629629,1.0,0.9811320754716981,26.0
Borzoi,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0
Boston Bull,0.9,0.9642857142857143,0.9310344827586207,28.0
Bouvier Des Flandres,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0
Boxer,0.875,0.9545454545454546,0.9130434782608695,22.0
Brabancon Griffon,0.9583333333333334,1.0,0.9787234042553191,23.0
Briard,1.0,0.8695652173913043,0.9302325581395349,23.0
Brittany Spaniel,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
Bull Mastiff,1.0,1.0,1.0,23.0
Cairn,0.9354838709677419,0.9666666666666667,0.9508196721311475,30.0
Cardigan,0.8888888888888888,0.6956521739130435,0.7804878048780488,23.0
Chesapeake Bay Retriever,0.9615384615384616,1.0,0.9803921568627451,25.0
Chihuahua,1.0,0.782608695652174,0.8780487804878049,23.0
Chow,1.0,0.9666666666666667,0.9830508474576272,30.0
Clumber,0.9166666666666666,1.0,0.9565217391304348,22.0
Cocker Spaniel,0.9,0.75,0.8181818181818182,24.0
Collie,0.6,0.6521739130434783,0.625,23.0
Curly-Coated Retriever,0.9565217391304348,1.0,0.9777777777777777,22.0
Dandie Dinmont,1.0,0.9629629629629629,0.9811320754716981,27.0
Dhole,1.0,0.8636363636363636,0.926829268292683,22.0
